id,false_sent,connector,explanation0,explanation1,explanation2,label
4778,"Upgrading the seat can give you a more comfortable seat, but it also means less money", This is false because ,Upgrading the seat can be paid by credits,People should pay for an upgrade of the seat,"The seat of first class have wider space, thus it's more comfortable",1
4779,The charging case can help your cell phone's engine last longer, This is false because ,Vehicles usually have an engine,Some engines are powered by battery,Cell phones don't have an engine,2
4780,"You should be careful in Italy, since there is so many delicious food", This is false because ,There is no need to be afraid of delicious food,"Italians have their own perspective about ""delicious food""",Most Americans think Italian food is much more delicious than their food,0
4781,Imported cars don't sell well in mainland because the tax is too low, This is false because ,High tax will bring more income to the government,Low tax will reduce social welfare,"High tax will rise the price, causing people less likely to buy the item",2
4782,High tuition is the reason why so many students are reluctant for choosing schools in the US, This is false because ,High tuition is a burden,High tuition doesn't mean better teaching quality for a school,High tuition can bring more money for the school,0
4783,"Voyager 1 takes a hamburger as a gift for aliens, representing all human race", This is false because ,Hamburger can be a gift between close friends,Human are still not sure whether alien like hamburgers,Hamburger is not a suitable gift in formal occasions,2
4784,"That movie is awesome, that's why its box office is damn low", This is false because ,Some awesome truly have a low box office,Box office cannot be the only rule for judging a movie,Being an awesome movie is not the reason for having a low box office,2
4785,"The Last of Us is an excellent video game, it's famous for its taste", This is false because ,Video games can make people addict to them,"Video games don't have a taste, since they're not food",Video games require good hardware,1
4786,Watching video for the whole day is good for your eyes, This is false because ,Watching video can help people gain knowledge,People can watch videos on websites or TVs,Watching video harm people's eyes,2
4787,"The temperature of gold keeps rising, it's time to sell off", This is false because ,Temperature doesn't affect gold's price,High temperature can melt gold,Low temperature can make gold fragile,0
4788,He can't unlock the phone since he forgot the time, This is false because ,Remembering the time requires a good sense of time,It's not necessary to know the time when unlocking the phone,"When people forget the time, they can watch the cell phone",1
4789,He was arrested for saving the girl from the fire, This is false because ,People will be arrested only when they are criminals,Arresting people is among police's rights,Arresting innocent people will be condemned by the society,0
4790,"When I get into my car, I saw a giraffe on the wheel", This is false because ,Giraffes are too big to stay in a car,Giraffes are famous for their long neck,Giraffes live in Australia,0
4791,"It's getting hotter and hotter, we need to turn on the light", This is false because ,Turning on the light won't make the room darker than before,Turning on the light will make the room brighter than before,Turning on the light will keep room temperature the same,2
4792,"Her father was murdered, thus she is seeking for a job", This is false because ,Seeking for a job have nothing to do with the death of one's parent,Seeking for a job may bring one more available income,Seeking for a job is getting harder and harder recently,0
